"시점","국적별(1)",국적별(2),관광
"2022.01","아시아주",소계,10529
"2022.01","미주",소계,3375
"2022.01","구주",소계,2808
"2022.01","대양주",소계,205
"2022.01","아프리카",소계,43
"2022.01","기타",소계,1
"2022.02","아시아주",소계,8841
"2022.02","미주",소계,4124
"2022.02","구주",소계,3233
"2022.02","대양주",소계,233
"2022.02","아프리카",소계,63
"2022.02","기타",소계,18
"2022.03","아시아주",소계,12170
"2022.03","미주",소계,6161
"2022.03","구주",소계,3705
"2022.03","대양주",소계,349
"2022.03","아프리카",소계,102
"2022.03","기타",소계,5
"2022.04","아시아주",소계,18923
"2022.04","미주",소계,23222
"2022.04","구주",소계,12859
"2022.04","대양주",소계,2082
"2022.04","아프리카",소계,354
"2022.04","기타",소계,8
"2022.05","아시아주",소계,32742
"2022.05","미주",소계,34329
"2022.05","구주",소계,17839
"2022.05","대양주",소계,3494
"2022.05","아프리카",소계,763
"2022.05","기타",소계,12
"2022.06","아시아주",소계,60845
"2022.06","미주",소계,48017
"2022.06","구주",소계,20164
"2022.06","대양주",소계,4098
"2022.06","아프리카",소계,755
"2022.06","기타",소계,4
"2022.07","아시아주",소계,75746
"2022.07","미주",소계,45087
"2022.07","구주",소계,26745
"2022.07","대양주",소계,4518
"2022.07","아프리카",소계,1048
"2022.07","기타",소계,27
"2022.08","아시아주",소계,85241
"2022.08","미주",소계,37921
"2022.08","구주",소계,30081
"2022.08","대양주",소계,4714
"2022.08","아프리카",소계,1137
"2022.08","기타",소계,34
"2022.09","아시아주",소계,111510
"2022.09","미주",소계,56186
"2022.09","구주",소계,35263
"2022.09","대양주",소계,8971
"2022.09","아프리카",소계,1369
"2022.09","기타",소계,11
"2022.10","아시아주",소계,232227
"2022.10","미주",소계,72360
"2022.10","구주",소계,44023
"2022.10","대양주",소계,9853
"2022.10","아프리카",소계,2385
"2022.10","기타",소계,14
"2022.11","아시아주",소계,235921
"2022.11","미주",소계,59324
"2022.11","구주",소계,34561
"2022.11","대양주",소계,10449
"2022.11","아프리카",소계,1419
"2022.11","기타",소계,12
"2022.12","아시아주",소계,327115
"2022.12","미주",소계,57318
"2022.12","구주",소계,29473
"2022.12","대양주",소계,19080
"2022.12","아프리카",소계,1296
"2022.12","기타",소계,23
"2023.01","아시아주",소계,238034
"2023.01","미주",소계,37438
"2023.01","구주",소계,23641
"2023.01","대양주",소계,13062
"2023.01","아프리카",소계,671
"2023.01","기타",소계,1
"2023.02","아시아주",소계,248483
"2023.02","미주",소계,37789
"2023.02","구주",소계,24471
"2023.02","대양주",소계,7665
"2023.02","아프리카",소계,682
"2023.02","기타",소계,8
"2023.03","아시아주",소계,467983
"2023.03","미주",소계,86106
"2023.03","구주",소계,57758
"2023.03","대양주",소계,14722
"2023.03","아프리카",소계,1104
"2023.03","기타",소계,8
"2023.04","아시아주",소계,512813
"2023.04","미주",소계,114481
"2023.04","구주",소계,84481
"2023.04","대양주",소계,23414
"2023.04","아프리카",소계,1673
"2023.04","기타",소계,8
"2023.05","아시아주",소계,507467
"2023.05","미주",소계,104206
"2023.05","구주",소계,61358
"2023.05","대양주",소계,16818
"2023.05","아프리카",소계,1932
"2023.05","기타",소계,8
"2023.06","아시아주",소계,596935
"2023.06","미주",소계,119509
"2023.06","구주",소계,52314
"2023.06","대양주",소계,18731
"2023.06","아프리카",소계,1770
"2023.06","기타",소계,10
"2023.07","아시아주",소계,644804
"2023.07","미주",소계,107663
"2023.07","구주",소계,81975
"2023.07","대양주",소계,15562
"2023.07","아프리카",소계,3321
"2023.07","기타",소계,15
"2023.08","아시아주",소계,677852
"2023.08","미주",소계,78054
"2023.08","구주",소계,68473
"2023.08","대양주",소계,12738
"2023.08","아프리카",소계,2334
"2023.08","기타",소계,7
"2023.09","아시아주",소계,706692
"2023.09","미주",소계,98963
"2023.09","구주",소계,70256
"2023.09","대양주",소계,23611
"2023.09","아프리카",소계,2362
"2023.09","기타",소계,7
"2023.10","아시아주",소계,787273
"2023.10","미주",소계,120478
"2023.10","구주",소계,77927
"2023.10","대양주",소계,21632
"2023.10","아프리카",소계,2521
"2023.10","기타",소계,18
"2023.11","아시아주",소계,760274
"2023.11","미주",소계,95291
"2023.11","구주",소계,55821
"2023.11","대양주",소계,20034
"2023.11","아프리카",소계,1597
"2023.11","기타",소계,16
"2023.12","아시아주",소계,728774
"2023.12","미주",소계,73176
"2023.12","구주",소계,37551
"2023.12","대양주",소계,24814
"2023.12","아프리카",소계,1447
"2023.12","기타",소계,12
